Accession_OD,Pvalue_OD
A0A075B6H7,0.380321525
A0A075B6H9,0.493844038
A0A075B6I0,0.590413114
A0A075B6I1,0.238155547
A0A075B6I4,0.238155547
A0A075B6I9,0.400645254
A0A075B6J1,0.144422986
A0A075B6J9,0.436427189
A0A075B6K0,0.63624677
A0A075B6K4,0.733411303
A0A075B6K5,0.707861202
A0A075B6P5,0.766212045
A0A075B6Q5,0.452320533
A0A075B6R2,0.736275502
A0A075B6R9,0.671890557
A0A075B6S5,0.63624677
A0A075B6S6,0.75218622
A0A087WSY6,0.676362564
A0A087WSZ0,0.238155547
A0A087WW87,0.754644588
A0A0A0MS14,0.195763682
A0A0A0MS15,0.611601867
A0A0A0MT36,0.436427189
A0A0A0MT89,0.238155547
A0A0B4J1U3,0.195763682
A0A0B4J1U7,0.506000452
A0A0B4J1V0,0.574708476
A0A0B4J1V1,0.877069398
A0A0B4J1V2,0.493844038
A0A0B4J1V6,0.506000452
A0A0B4J1X5,0.863445399
A0A0B4J1X8,0.845630832
A0A0B4J1Y8,0.380321525
A0A0B4J1Y9,0.684916339
A0A0B4J2D9,0.436427189
A0A0B4J2H0,0.684916339
A0A0C4DH24,0.400645254
A0A0C4DH25,0.831010659
A0A0C4DH29,0.692989778
A0A0C4DH31,0.641865588
A0A0C4DH32,0.839680989
A0A0C4DH33,0.357988835
A0A0C4DH34,0.689010301
A0A0C4DH35,0.528280715
A0A0C4DH36,0.452320533
A0A0C4DH38,0.795036134
A0A0C4DH43,0.582734353
A0A0C4DH67,0.63624677
A0A0C4DH73,0.768391135
A0A0G2JS06,0.274224549
A0A0J9YX35,0.506000452
A0A0J9YXX1,0.718035753
A0M8Q6,0.87948762
A1L4H1,0.604825693
A2NJV5,0.782546433
A6NFH5,0.144422986
A6NHZ5,0.079407963
A6NI73,0.195763682
A8MT33,0.238155547
B9A064,0.942875942
O00115,0.144422986
O00151,0.506000452
O00187,0.861922462
O00241,0.357988835
O00299,0.611601867
O00391,0.89777529
O00429,0.079407963
O00451,0.079407963
O00462,0.548255619
O00533,0.909786205
O00584,0.467104484
O00592,0.493844038
O00602,0.333249116
O00748,0.079407963
O14498,0.528280715
O14773,0.079407963
O14786,0.791619235
O14791,0.855488378
O14793,0.144422986
O14798,0.144422986
O14818,0.557501863
O14950,0.274224549
O14960,0.238155547
O15031,0.566307926
O15143,0.590413114
O15144,0.480909357
O15145,0.333249116
O15204,0.380321525
O15394,0.714729793
O15403,0.195763682
O15511,0.333249116
O43150,0.680702389
O43157,0.538530047
O43278,0.305571587
O43280,0.528280715
O43291,0.079407963
O43396,0.195763682
O43432,0.195763682
O43451,0.400645254
O43493,0.574708476
O43505,0.548255619
O43639,0.195763682
O43665,0.144422986
O43707,0.902759376
O43852,0.400645254
O43866,0.915929602
O43895,0.467104484
O60234,0.195763682
O60279,0.357988835
O60449,0.238155547
O60462,0.630424222
O75015,0.707861202
O75023,0.274224549
O75083,0.754644588
O75144,0.611601867
O75223,0.419266655
O75326,0.467104484
O75339,0.357988835
O75347,0.333249116
O75356,0.305571587
O75368,0.467104484
O75390,0.079407963
O75460,0.357988835
O75503,0.274224549
O75509,0.274224549
O75581,0.079407963
O75594,0.305571587
O75635,0.144422986
O75636,0.941173001
O75791,0.274224549
O75874,0.333249116
O75882,0.98054346
O75923,0.144422986
O75976,0.079407963
O94876,0.238155547
O94919,0.333249116
O94933,0.079407963
O94985,0.400645254
O95185,0.079407963
O95274,0.195763682
O95382,0.079407963
O95428,0.274224549
O95445,0.860366439
O95477,0.274224549
O95479,0.809106654
O95497,0.883508852
O95633,0.238155547
O95810,0.624385303
O95834,0.436427189
O95897,0.144422986
O95967,0.079407963
O95980,0.597769477
O95995,0.195763682
P00325,0.538530047
P00338,0.692989778
P00352,0.380321525
P00367,0.079407963
P00387,0.079407963
P00390,0.689010301
P00441,0.754644588
P00450,0.997256538
P00451,0.436427189
P00488,0.951264794
P00491,0.711339462
P00492,0.238155547
P00533,0.647292285
P00558,0.721260701
P00568,0.380321525
P00734,0.987559125
P00736,0.973896426
P00738,0.991258244
P00739,0.975054045
P00740,0.938870628
P00742,0.943026404
P00746,0.875194312
P00747,0.991471104
P00748,0.947364434
P00751,0.981903495
P00915,0.953135389
P00918,0.837596577
P00973,0.079407963
P01008,0.995549261
P01009,0.993974269
P01011,0.995383088
P01019,0.970965481
P01023,0.99838539
P01024,0.998872655
P01031,0.990404395
P01033,0.597769477
P01034,0.744491151
P01036,0.238155547
P01040,0.689010301
