Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
ALB,Albumin,40g/L,40000,mg/L,40000000,40000000,25.25349666,4.531879134,0.999997077,
CP,Ceruloplasmin,830 mg/L,830,mg/L,830000,830000,19.66275181,3.489887908,0.999758388,
GSN,Gelsolin,510 mg/L,510,mg/L,510000,510000,18.96013772,3.358936177,0.999608784,
RBP4,Retinol binding protein 4,420 mg/L,420,mg/L,420000,420000,18.6800298,3.306730254,0.999528041,
C3,Complement C3,250 mg/L,250,mg/L,250000,250000,17.93156857,3.167233629,0.999230517,
HPX,Hemopexin,230 mg/L,230,mg/L,230000,230000,17.81127434,3.144813444,0.999169036,
APOA1,Apolipoprotein A1,220 mg/L,220,mg/L,220000,220000,17.747144,3.132860967,0.999134443,
A2M,Alpha-2-macroglobulin,220 mg/L,220,mg/L,220000,220000,17.747144,3.132860967,0.999134443,
APOD,Apolipoprotein D,220 mg/L,220,mg/L,220000,220000,17.747144,3.132860967,0.999134443,
SERPINC1,Serpin family C member 1,210 mg/L,210,mg/L,210000,210000,17.6800298,3.120352365,0.999096826,
APOA2,Apolipoprotein A2,210 mg/L,210,mg/L,210000,210000,17.6800298,3.120352365,0.999096826,
SERPINA1,Serpin family A member 1,210 mg/L,210,mg/L,210000,210000,17.6800298,3.120352365,0.999096826,
TTR,Transthyretin,180 mg/L,180,mg/L,180000,180000,17.45763738,3.078903335,0.99896118,
CFB,Complement factor B,180 mg/L,180,mg/L,180000,180000,17.45763738,3.078903335,0.99896118,
FGA,Fibrinogen alpha chain,170 mg/L,170,mg/L,170000,170000,17.37517522,3.063534211,0.998906304,
AZGP1,"Alpha-2-glycoprotein 1, zinc-binding",160 mg/L,160,mg/L,160000,160000,17.28771238,3.047233071,0.998845207,
PGLYRP2,Peptidoglycan recognition protein 2,160 mg/L,160,mg/L,160000,160000,17.28771238,3.047233071,0.998845207,
APOA4,Apolipoprotein A4,140 mg/L,140,mg/L,140000,140000,17.0950673,3.011328288,0.998699463,
AHSG,Alpha 2-HS glycoprotein,140 mg/L,140,mg/L,140000,140000,17.0950673,3.011328288,0.998699463,
HP,Haptoglobin,140 mg/L,140,mg/L,140000,140000,17.0950673,3.011328288,0.998699463,
TF,Transferrin,120 mg/L,120,mg/L,120000,120000,16.87267488,2.969879258,0.998510416,
FGB,Fibrinogen beta chain,120 mg/L,120,mg/L,120000,120000,16.87267488,2.969879258,0.998510416,
ORM1,Orosomucoid 1,120 mg/L,120,mg/L,120000,120000,16.87267488,2.969879258,0.998510416,
IGLL5,Immunoglobulin lambda like polypeptide 5,120 mg/L,120,mg/L,120000,120000,16.87267488,2.969879258,0.998510416,
CFH,Complement factor H,110 mg/L,110,mg/L,110000,110000,16.747144,2.946483077,0.99839295,
AGT,Angiotensinogen,110 mg/L,110,mg/L,110000,110000,16.747144,2.946483077,0.99839295,
SERPINF2,Serpin family F member 2,110 mg/L,110,mg/L,110000,110000,16.747144,2.946483077,0.99839295,
APOC2,Apolipoprotein C2,110 mg/L,110,mg/L,110000,110000,16.747144,2.946483077,0.99839295,
IGLL1,Immunoglobulin lambda like polypeptide 1,100 mg/L,100,mg/L,100000,100000,16.60964047,2.920855461,0.998254641,
C4A,Complement C4A (Rodgers blood group),98 mg/L,98,mg/L,98000,98000,16.58049413,2.915423227,0.998223968,
APOC3,Apolipoprotein C3,97 mg/L,97,mg/L,97000,97000,16.56569713,2.912665393,0.998208208,
C9,Complement C9,97 mg/L,97,mg/L,97000,97000,16.56569713,2.912665393,0.998208208,
C4B,Complement C4B (Chido blood group),97 mg/L,97,mg/L,97000,97000,16.56569713,2.912665393,0.998208208,
SERPINA3,Serpin family A member 3,95 mg/L,95,mg/L,95000,95000,16.53563989,2.907063389,0.998175804,
SERPIND1,Serpin family D member 1,94 mg/L,94,mg/L,94000,94000,16.52037314,2.904218003,0.998159141,
APOB,Apolipoprotein B,89 mg/L,89,mg/L,89000,89000,16.44151772,2.889521096,0.998070854,
SERPINF1,Serpin family F member 1,85 mg/L,85,mg/L,85000,85000,16.37517522,2.877156322,0.997993616,
HPR,Haptoglobin-related protein,77 mg/L,77,mg/L,77000,77000,16.23257083,2.850578016,0.997818008,
APCS,"Amyloid P component, serum",76 mg/L,76,mg/L,76000,76000,16.2137118,2.84706311,0.997793769,
LRG1,Leucine rich alpha-2-glycoprotein 1,74 mg/L,74,mg/L,74000,74000,16.17523765,2.839892379,0.997743562,
SAA4,"Serum amyloid A4, constitutive",72 mg/L,72,mg/L,72000,72000,16.13570929,2.832525166,0.997690903,
AMBP,Alpha-1-microglobulin/bikunin precursor,71 mg/L,71,mg/L,71000,71000,16.1155314,2.828764455,0.997663596,
GC,"GC, vitamin D binding protein",69 mg/L,69,mg/L,69000,69000,16.07430874,2.821081462,0.997606898,
FGG,Fibrinogen gamma chain,68 mg/L,68,mg/L,68000,68000,16.05324713,2.817156043,0.997577451,
C7,Complement C7,67 mg/L,67,mg/L,67000,67000,16.03187348,2.813172467,0.997547233,
KRT1,Keratin 1,65 mg/L,65,mg/L,65000,65000,15.9881521,2.805023769,0.997484357,
KNG1,Kininogen 1,64 mg/L,64,mg/L,64000,64000,15.96578428,2.800854903,0.997451629,
APOE,Apolipoprotein E,63 mg/L,63,mg/L,63000,63000,15.94306421,2.796620383,0.997417992,
ORM2,Orosomucoid 2,61 mg/L,61,mg/L,61000,61000,15.89652162,2.787945874,0.99734783,
LUM,Lumican,59 mg/L,59,mg/L,59000,59000,15.84842733,2.778982162,0.997273524,
SERPINA6,Serpin family A member 6,59 mg/L,59,mg/L,59000,59000,15.84842733,2.778982162,0.997273524,
ITIH4,Inter-alpha-trypsin inhibitor heavy chain family member 4,53 mg/L,53,mg/L,53000,53000,15.69370474,2.750145292,0.997021558,
C2,Complement C2,52 mg/L,52,mg/L,52000,52000,15.666224,2.74502349,0.996974672,
A1BG,Alpha-1-B glycoprotein,49 mg/L,49,mg/L,49000,49000,15.58049413,2.729045337,0.996824101,
SERPINA7,Serpin family A member 7,49 mg/L,49,mg/L,49000,49000,15.58049413,2.729045337,0.996824101,
FN1,Fibronectin 1,47 mg/L,47,mg/L,47000,47000,15.52037314,2.717840113,0.996714521,
C5,Complement C5,46 mg/L,46,mg/L,46000,46000,15.48934624,2.712057386,0.996656649,
CLEC3B,C-type lectin domain family 3 member B,46 mg/L,46,mg/L,46000,46000,15.48934624,2.712057386,0.996656649,
APOH,Apolipoprotein H,44 mg/L,44,mg/L,44000,44000,15.4252159,2.700104909,0.996534119,
IGFALS,Insulin like growth factor binding protein acid labile subunit,44 mg/L,44,mg/L,44000,44000,15.4252159,2.700104909,0.996534119,
F2,"Coagulation factor II, thrombin",43 mg/L,43,mg/L,43000,43000,15.39204904,2.693923339,0.99646918,
KRT9,Keratin 9,42 mg/L,42,mg/L,42000,42000,15.35810171,2.687596307,0.996401583,
CPN2,Carboxypeptidase N subunit 2,42 mg/L,42,mg/L,42000,42000,15.35810171,2.687596307,0.996401583,
PLG,Plasminogen,41 mg/L,41,mg/L,41000,41000,15.32333629,2.681116802,0.996331155,
ATRN,Attractin,39 mg/L,39,mg/L,39000,39000,15.2511865,2.667669677,0.996181034,
SERPING1,Serpin family G member 1,38 mg/L,38,mg/L,38000,38000,15.2137118,2.66068522,0.996100909,
CLU,Clusterin,36 mg/L,36,mg/L,36000,36000,15.13570929,2.646147277,0.995929282,
FBLN1,Fibulin 1,34 mg/L,34,mg/L,34000,34000,15.05324713,2.630778154,0.995740519,
C4BPA,Complement component 4 binding protein alpha,34 mg/L,34,mg/L,34000,34000,15.05324713,2.630778154,0.995740519,
KRT10,Keratin 10,34 mg/L,34,mg/L,34000,34000,15.05324713,2.630778154,0.995740519,
FCN3,Ficolin 3,33 mg/L,33,mg/L,33000,33000,15.0101784,2.622751096,0.995638852,
VTN,Vitronectin,32 mg/L,32,mg/L,32000,32000,14.96578428,2.614477014,0.995531791,
ITIH1,Inter-alpha-trypsin inhibitor heavy chain 1,31 mg/L,31,mg/L,31000,31000,14.9199806,2.605940219,0.995418877,
HRG,Histidine rich glycoprotein,30 mg/L,30,mg/L,30000,30000,14.87267488,2.59712348,0.995299594,
PRSS2,Serine protease 2,27 mg/L,27,mg/L,27000,27000,14.72067179,2.568793464,0.994897337,
APOC1,Apolipoprotein C1,26 mg/L,26,mg/L,26000,26000,14.666224,2.558645601,0.99474596,
