UniprotAccession,Description,Globulins,PSMs,Abundance[S4],Abundance[S37],Abundance[S38],Abundance[S39],Abundance[S40],Abundance[S41],Abundance[S42],Abundance[S43],Abundance[S44],Abundance[S45],Found[S4],Found[S37],Found[S38],Found[S39],Found[S40],Found[S41],Found[S42],Found[S43],Found[S44],Found[S45],Gene
Q9Y3D6,Mitochondrial fission 1 protein OS=Homo sapiens OX=9606 GN=FIS1 PE=1 SV=2,0,33,245824.1953,196345.6519,21321.13867,2643.908936,107823.9375,24494.51367,26268.11133,1912.278931,182539.8021,142702.8289,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FIS1
Q6UY14,ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2,0,9,33911.71484,19308.35547,51113.82715,3389.17334,22343.27148,26381.99512,26680.47461,61224.8772,83320.06836,20642.56274,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ADAMTSL4
O95340,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,0,10,2463.22876,NA,15918.75391,3854.183838,33735.15625,77540.17773,47595.92017,27960.12305,2869.580322,2447.848389,Not Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,PAPSS2
Q96EI5,Transcription elongation factor A protein-like 4 OS=Homo sapiens OX=9606 GN=TCEAL4 PE=1 SV=2,0,4,114156.3516,NA,2213.285889,4548.162598,NA,NA,5923.945801,NA,NA,NA,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,TCEAL4
Q9UBF2,Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,0,47,5057265.742,NA,77286.74414,5104.402832,95535.07031,453259.4727,1000693.188,86123.16016,189354.3398,241267.1523,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,COPG2
Q6GQQ9,OTU domain-containing protein 7B OS=Homo sapiens OX=9606 GN=OTUD7B PE=1 SV=1,0,1,7092.645508,NA,NA,5343.954102,NA,NA,NA,NA,NA,NA,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,OTUD7B
O43819,"Protein SCO2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=SCO2 PE=1 SV=3",0,5,3100.391846,3040.873047,NA,6749.226563,NA,NA,NA,NA,NA,7681.721191,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,SCO2
Q8N9T8,Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=3,0,9,14903.08301,2693.281982,13267.30762,7776.785156,NA,NA,261966.6758,72638.57031,29505.47656,NA,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,KRI1
Q9H2D1,Mitochondrial folate transporter/carrier OS=Homo sapiens OX=9606 GN=SLC25A32 PE=1 SV=2,0,8,NA,NA,NA,8142.351563,6424.799316,NA,3888.049561,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,SLC25A32
Q9NRW3,DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2,0,19,14030.83691,NA,NA,9540.236328,9950.326172,NA,8232.742188,4143.699219,NA,18506.61768,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,APOBEC3C
